ID,Round,Home,Away,Phase,Team_In_Poss,Location,Side,Play_Start,Points_Difference,Seconds_Remaining,Yellow_Cards_Own,Yellow_Cards_Opp,Red_Cards_Own,Red_Cards_Opp,Outcome
65,1,Harlequins,Sale,3,Home,22m-10m (own),Centre,Restart Kick,7,3390,0,0,0,0,Against Converted Try (-7)
66,1,Harlequins,Sale,1,Away,10m-Half (own),Right,Kick (Open Play),-7,3380,0,0,0,0,For Converted Try (+7)
67,1,Harlequins,Sale,1,Away,10m-22m (opp),Right,Lineout,-7,3326,0,0,0,0,For Converted Try (+7)
68,1,Harlequins,Sale,2,Away,5m-Goal (opp),Centre,Lineout,-7,3309,0,0,0,0,For Converted Try (+7)
69,1,Harlequins,Sale,1,Away,5m-22m (own),Right,Restart Kick,0,3189,0,0,0,0,For Converted Try (+7)
70,1,Harlequins,Sale,1,Away,Half-10m (opp),Right,Lineout,0,3137,0,0,0,0,For Converted Try (+7)
71,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Turnover Steal,0,3133,0,0,0,0,Against Converted Try (-7)
72,1,Harlequins,Sale,2,Home,22m-10m (own),Left,Turnover Steal,0,3123,0,0,0,0,Against Converted Try (-7)
73,1,Harlequins,Sale,1,Away,22m-10m (own),Right,Kick (Open Play),0,3110,0,0,0,0,For Converted Try (+7)
74,1,Harlequins,Sale,2,Away,10m-Half (own),Centre,Kick (Open Play),0,3103,0,0,0,0,For Converted Try (+7)
75,1,Harlequins,Sale,1,Home,Half-10m (opp),Right,Scrum,0,3059,0,0,0,0,Against Converted Try (-7)
76,1,Harlequins,Sale,2,Home,10m-22m (opp),Left,Scrum,0,3045,0,0,0,0,Against Converted Try (-7)
77,1,Harlequins,Sale,3,Home,10m-22m (opp),Centre,Scrum,0,3037,0,0,0,0,Against Converted Try (-7)
78,1,Harlequins,Sale,1,Away,22m-10m (own),Centre,Turnover Steal,0,3035,0,0,0,0,For Converted Try (+7)
79,1,Harlequins,Sale,1,Away,22m-10m (own),Right,Restart Kick,7,2901,0,0,0,0,Against Converted Try (-7)
80,1,Harlequins,Sale,2,Away,22m-10m (own),Right,Restart Kick,7,2890,0,0,0,0,Against Converted Try (-7)
81,1,Harlequins,Sale,1,Home,Half-10m (opp),Left,Kick (Open Play),-7,2880,0,0,0,0,For Converted Try (+7)
82,1,Harlequins,Sale,2,Home,10m-Half (own),Left,Kick (Open Play),-7,2874,0,0,0,0,For Converted Try (+7)
83,1,Harlequins,Sale,3,Home,10m-Half (own),Left,Kick (Open Play),-7,2865,0,0,0,0,For Converted Try (+7)
84,1,Harlequins,Sale,4,Home,10m-Half (own),Centre,Kick (Open Play),-7,2858,0,0,0,0,For Converted Try (+7)
85,1,Harlequins,Sale,1,Away,22m-10m (own),Left,Kick (Open Play),7,2852,0,0,0,0,Against Converted Try (-7)
86,1,Harlequins,Sale,2,Away,22m-10m (own),Left,Kick (Open Play),7,2843,0,0,0,0,Against Converted Try (-7)
87,1,Harlequins,Sale,3,Away,10m-Half (own),Left,Kick (Open Play),7,2836,0,0,0,0,Against Converted Try (-7)
88,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Restart Kick,-7,2751,0,0,0,0,For Converted Try (+7)
89,1,Harlequins,Sale,1,Away,5m-22m (own),Centre,Kick (Open Play),7,2743,0,0,0,0,Against Converted Try (-7)
90,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Kick (Open Play),-7,2721,0,0,0,0,For Converted Try (+7)
91,1,Harlequins,Sale,1,Home,22m-10m (own),Right,Restart Kick,0,2596,0,0,0,0,Against Penalty Kick (-3)
92,1,Harlequins,Sale,1,Away,10m-22m (opp),Left,Turnover Steal,0,2595,0,0,0,0,For Penalty Kick (+3)
93,1,Harlequins,Sale,1,Away,5m-22m (own),Right,Restart Kick,3,2480,0,0,0,0,Against Converted Try (-7)
94,1,Harlequins,Sale,1,Home,10m-22m (opp),Centre,Turnover Steal,-3,2470,0,0,0,0,For Converted Try (+7)
